Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,Pathway_Name
gs_ind_0,PHOTOALL-PWY,27/59,1.889327475591622e-08,9.635570125517273e-07,4.9224080267558525,87.54236772628938,FEK30_RS10955;FEK30_RS12095;FEK30_RS05405;FEK30_RS04715;FEK30_RS08000;FEK30_RS02995;FEK30_RS09600;FEK30_RS16275;FEK30_RS05215;FEK30_RS13420;FEK30_RS08135;FEK30_RS05230;FEK30_RS12220;FEK30_RS15220;FEK30_RS13130;FEK30_RS05225;FEK30_RS09325;FEK30_RS07885;FEK30_RS04065;FEK30_RS04600;FEK30_RS09330;FEK30_RS04825;FEK30_RS12235;FEK30_RS14125;FEK30_RS08140;FEK30_RS05220;FEK30_RS14120,oxygenic photosynthesis
gs_ind_0,PWY-101,22/45,9.448415565901855e-08,1.6062306462033154e-06,5.522647173998172,89.3278995209601,FEK30_RS12095;FEK30_RS05405;FEK30_RS04715;FEK30_RS08000;FEK30_RS09600;FEK30_RS16275;FEK30_RS05215;FEK30_RS08135;FEK30_RS05230;FEK30_RS15220;FEK30_RS13130;FEK30_RS05225;FEK30_RS09325;FEK30_RS07885;FEK30_RS04600;FEK30_RS09330;FEK30_RS04825;FEK30_RS12235;FEK30_RS14125;FEK30_RS08140;FEK30_RS05220;FEK30_RS14120,photosynthesis light reactions
gs_ind_0,PWY-7731,23/48,7.689162483385316e-08,1.6062306462033154e-06,5.324240889467718,87.21569187566664,FEK30_RS12095;FEK30_RS05405;FEK30_RS04715;FEK30_RS08000;FEK30_RS09600;FEK30_RS16275;FEK30_RS05215;FEK30_RS08135;FEK30_RS05550;FEK30_RS05230;FEK30_RS15220;FEK30_RS13130;FEK30_RS05225;FEK30_RS09325;FEK30_RS07885;FEK30_RS04600;FEK30_RS09330;FEK30_RS04825;FEK30_RS12235;FEK30_RS14125;FEK30_RS08140;FEK30_RS05220;FEK30_RS14120,superpathway of photosynthetic hydrogen production
