Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,Pathway_Name
gs_ind_0,PHOTOALL-PWY,52/59,1.224254280404363e-07,1.5915305645256716e-05,5.533768352365416,88.07414970482621,FEK30_RS08295;FEK30_RS10520;FEK30_RS02765;FEK30_RS12095;FEK30_RS05405;FEK30_RS04715;FEK30_RS11160;FEK30_RS08000;FEK30_RS02770;FEK30_RS02995;FEK30_RS13420;FEK30_RS04575;FEK30_RS05215;FEK30_RS08135;FEK30_RS05950;FEK30_RS10745;FEK30_RS03560;FEK30_RS05230;FEK30_RS12220;FEK30_RS09485;FEK30_RS15220;FEK30_RS07515;FEK30_RS13130;FEK30_RS05225;FEK30_RS10690;FEK30_RS09250;FEK30_RS09325;FEK30_RS02295;FEK30_RS04065;FEK30_RS04600;FEK30_RS13875;FEK30_RS12310;FEK30_RS05675;FEK30_RS08300;FEK30_RS13880;FEK30_RS03935;FEK30_RS01565;FEK30_RS09330;FEK30_RS04825;FEK30_RS11280;FEK30_RS08355;FEK30_RS12235;FEK30_RS07065;FEK30_RS10465;FEK30_RS10930;FEK30_RS07910;FEK30_RS14125;FEK30_RS13440;FEK30_RS05700;FEK30_RS05665;FEK30_RS05220;FEK30_RS14120,oxygenic photosynthesis
gs_ind_0,PWY-101,39/45,1.2919251994481776e-05,0.0007168337745709939,4.767563397456636,53.66746930435413,FEK30_RS08295;FEK30_RS02765;FEK30_RS12095;FEK30_RS05405;FEK30_RS04715;FEK30_RS11160;FEK30_RS08000;FEK30_RS02770;FEK30_RS05215;FEK30_RS08135;FEK30_RS05950;FEK30_RS10745;FEK30_RS03560;FEK30_RS05230;FEK30_RS09485;FEK30_RS15220;FEK30_RS07515;FEK30_RS13130;FEK30_RS05225;FEK30_RS09325;FEK30_RS02295;FEK30_RS04600;FEK30_RS13875;FEK30_RS12310;FEK30_RS08300;FEK30_RS13880;FEK30_RS01565;FEK30_RS09330;FEK30_RS04825;FEK30_RS11280;FEK30_RS08355;FEK30_RS12235;FEK30_RS10465;FEK30_RS10930;FEK30_RS07910;FEK30_RS14125;FEK30_RS05665;FEK30_RS05220;FEK30_RS14120,photosynthesis light reactions
gs_ind_0,PWY-7731,41/48,1.6542317874715243e-05,0.0007168337745709939,4.343137890076665,47.81616201371731,FEK30_RS08295;FEK30_RS02765;FEK30_RS12095;FEK30_RS05405;FEK30_RS04715;FEK30_RS11160;FEK30_RS08000;FEK30_RS02770;FEK30_RS05215;FEK30_RS08135;FEK30_RS05950;FEK30_RS10745;FEK30_RS05080;FEK30_RS03560;FEK30_RS13065;FEK30_RS05230;FEK30_RS09485;FEK30_RS15220;FEK30_RS07515;FEK30_RS13130;FEK30_RS05225;FEK30_RS09325;FEK30_RS02295;FEK30_RS04600;FEK30_RS13875;FEK30_RS12310;FEK30_RS08300;FEK30_RS13880;FEK30_RS01565;FEK30_RS09330;FEK30_RS11280;FEK30_RS04825;FEK30_RS08355;FEK30_RS12235;FEK30_RS10465;FEK30_RS10930;FEK30_RS07910;FEK30_RS14125;FEK30_RS05665;FEK30_RS05220;FEK30_RS14120,superpathway of photosynthetic hydrogen production
gs_ind_0,PWY-7980,17/17,5.923555642110283e-05,0.0019251555836858419,27.207336523125996,264.8359030396169,FEK30_RS15990;FEK30_RS15995;FEK30_RS07780;FEK30_RS07855;FEK30_RS07775;FEK30_RS07770;FEK30_RS16005;FEK30_RS16000;FEK30_RS15975;FEK30_RS07795;FEK30_RS07800;FEK30_RS07765;FEK30_RS07790;FEK30_RS07785;FEK30_RS16015;FEK30_RS15980;FEK30_RS07850,ATP biosynthesis
gs_ind_0,CHLOROPHYLL-SYN,11/11,0.0018560076965891546,0.048256200111318016,17.810931045440103,112.01877838475042,FEK30_RS08210;FEK30_RS13580;FEK30_RS07635;FEK30_RS08645;FEK30_RS05120;FEK30_RS15565;FEK30_RS07070;FEK30_RS09380;FEK30_RS14265;FEK30_RS09270;FEK30_RS07300,"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)"
