term,gene
PHOTOALL-PWY,FEK30_RS08000
PHOTOALL-PWY,FEK30_RS07910
PHOTOALL-PWY,FEK30_RS05665
PHOTOALL-PWY,FEK30_RS05405
PHOTOALL-PWY,FEK30_RS05230
PHOTOALL-PWY,FEK30_RS05225
PHOTOALL-PWY,FEK30_RS05220
PHOTOALL-PWY,FEK30_RS05215
PHOTOALL-PWY,FEK30_RS04715
PHOTOALL-PWY,FEK30_RS03560
PHOTOALL-PWY,FEK30_RS14995
PHOTOALL-PWY,FEK30_RS08355
PHOTOALL-PWY,FEK30_RS13880
PHOTOALL-PWY,FEK30_RS13875
PHOTOALL-PWY,FEK30_RS16275
PHOTOALL-PWY,FEK30_RS08300
PHOTOALL-PWY,FEK30_RS08295
PHOTOALL-PWY,FEK30_RS07885
PHOTOALL-PWY,FEK30_RS05950
PHOTOALL-PWY,FEK30_RS14125
PHOTOALL-PWY,FEK30_RS14120
PHOTOALL-PWY,FEK30_RS12235
PHOTOALL-PWY,FEK30_RS09330
PHOTOALL-PWY,FEK30_RS09325
PHOTOALL-PWY,FEK30_RS01565
PHOTOALL-PWY,FEK30_RS07515
PHOTOALL-PWY,FEK30_RS11160
PHOTOALL-PWY,FEK30_RS13610
PHOTOALL-PWY,FEK30_RS02770
PHOTOALL-PWY,FEK30_RS02765
PHOTOALL-PWY,FEK30_RS13440
PHOTOALL-PWY,FEK30_RS13420
PHOTOALL-PWY,FEK30_RS12220
PHOTOALL-PWY,FEK30_RS04575
PHOTOALL-PWY,FEK30_RS07065
PHOTOALL-PWY,FEK30_RS10955
PHOTOALL-PWY,FEK30_RS04065
PHOTOALL-PWY,FEK30_RS05700
PHOTOALL-PWY,FEK30_RS09250
PHOTOALL-PWY,FEK30_RS10690
PHOTOALL-PWY,FEK30_RS05675
PHOTOALL-PWY,FEK30_RS03935
PHOTOALL-PWY,FEK30_RS02995
PHOTOALL-PWY,FEK30_RS10520
PWY-7798,FEK30_RS08425
HEME-BIOSYNTHESIS-II,FEK30_RS08210
HEME-BIOSYNTHESIS-II,FEK30_RS07300
HEME-BIOSYNTHESIS-II,FEK30_RS02595
HEME-BIOSYNTHESIS-II,FEK30_RS13580
PWY-5041,FEK30_RS12900
PWY-5041,FEK30_RS14620
PWY-5041,FEK30_RS01920
PWY-5041,FEK30_RS16150
PWY-7227,FEK30_RS10945
PWY-7227,FEK30_RS05990
PWY-7227,FEK30_RS08165
PYRIDNUCSYN-PWY,FEK30_RS08495
PYRIDNUCSYN-PWY,FEK30_RS13365
PYRIDNUCSYN-PWY,FEK30_RS05910
PYRIDNUCSYN-PWY,FEK30_RS06625
PYRIDNUCSYN-PWY,FEK30_RS14155
PYRIDNUCSYN-PWY,FEK30_RS05565
PYRIDNUCSAL-PWY,FEK30_RS08495
PYRIDNUCSAL-PWY,FEK30_RS06625
PYRIDNUCSAL-PWY,FEK30_RS13365
PWY-4381,FEK30_RS02440
PWY-4381,FEK30_RS06715
PWY-4381,FEK30_RS04305
CITRULLINE-DEG-PWY,FEK30_RS07475
CITRULLINE-DEG-PWY,FEK30_RS02140
CITRULLINE-DEG-PWY,FEK30_RS02055
PWY-7346,FEK30_RS06180
DETOX1-PWY,FEK30_RS05280
DETOX1-PWY,FEK30_RS01675
PWY-6545,FEK30_RS17125
PWY-6545,FEK30_RS10765
PWY-6545,FEK30_RS08060
PWY-6545,FEK30_RS04815
PWY-6545,FEK30_RS08165
PWY-6545,FEK30_RS05990
PWY-6545,FEK30_RS10945
PWY0-823,FEK30_RS13480
PWY0-823,FEK30_RS08815
PWY4FS-7,FEK30_RS02005
PWY4FS-7,FEK30_RS03915
PWY4FS-7,FEK30_RS03910
PWY4FS-7,FEK30_RS01540
PWY4FS-7,FEK30_RS08845
PWY4FS-7,FEK30_RS09320
PWY4FS-7,FEK30_RS08490
PWY4FS-7,FEK30_RS09735
MENAQUINONESYN-PWY,FEK30_RS08860
PWY-5917,FEK30_RS15365
PWY-5917,FEK30_RS02155
1CMET2-PWY,FEK30_RS10320
1CMET2-PWY,FEK30_RS01725
1CMET2-PWY,FEK30_RS04205
1CMET2-PWY,FEK30_RS01920
1CMET2-PWY,FEK30_RS12845
1CMET2-PWY,FEK30_RS05830
1CMET2-PWY,FEK30_RS08550
1CMET2-PWY,FEK30_RS01715
ASPARTATE-DEG1-PWY,FEK30_RS15175
PWY-5027,FEK30_RS14230
PWY-5027,FEK30_RS08860
PWY-7980,FEK30_RS07855
PWY-7980,FEK30_RS07850
PWY-7980,FEK30_RS07800
PWY-7980,FEK30_RS07795
PWY-7980,FEK30_RS07790
PWY-7980,FEK30_RS07785
PWY-7980,FEK30_RS07780
PWY-7980,FEK30_RS07775
PWY-7980,FEK30_RS07770
PWY-7980,FEK30_RS07765
PWY-7980,FEK30_RS16015
PWY-7980,FEK30_RS16005
PWY-7980,FEK30_RS16000
PWY-7980,FEK30_RS15995
PWY-7980,FEK30_RS15990
PWY-7980,FEK30_RS15980
PWY-7980,FEK30_RS15975
PWY4FS-8,FEK30_RS02005
PWY4FS-8,FEK30_RS01540
PWY4FS-8,FEK30_RS08845
PWY4FS-8,FEK30_RS09320
PWY4FS-8,FEK30_RS03915
PWY4FS-8,FEK30_RS03910
PWY4FS-8,FEK30_RS08490
PWY4FS-8,FEK30_RS09735
PWY-7208,FEK30_RS09620
PWY-7208,FEK30_RS08165
PWY-7208,FEK30_RS11295
PWY-7208,FEK30_RS12810
PWY-7208,FEK30_RS12795
PWY-7909,FEK30_RS08550
PWY-7909,FEK30_RS09340
ASPARAGINE-DEG1-PWY,FEK30_RS08910
ASPARAGINE-DEG1-PWY,FEK30_RS08215
PWY-6644,FEK30_RS05385
PWY-6644,FEK30_RS09615
PWY-7388,FEK30_RS01395
PWY-7388,FEK30_RS04395
PWY-7388,FEK30_RS15415
PWY-7388,FEK30_RS12725
PWY-7388,FEK30_RS09360
PWY-7388,FEK30_RS09245
PWY-7388,FEK30_RS06715
PWY-8271,FEK30_RS13880
PWY-8271,FEK30_RS13875
PWY-8271,FEK30_RS16275
PWY-8271,FEK30_RS08300
PWY-8271,FEK30_RS08295
PWY-8271,FEK30_RS07885
PWY-8271,FEK30_RS05950
PWY-8271,FEK30_RS09915
PWY-8271,FEK30_RS07730
PWY-8271,FEK30_RS03395
PWY-8271,FEK30_RS03390
PWY-8271,FEK30_RS08355
GLYCOLYSIS,FEK30_RS12630
GLYCOLYSIS,FEK30_RS04410
GLYCOLYSIS,FEK30_RS15390
GLYCOLYSIS,FEK30_RS12220
GLYCOLYSIS,FEK30_RS03145
GLYCOLYSIS,FEK30_RS07065
GLYCOLYSIS,FEK30_RS10955
GLYCOLYSIS,FEK30_RS04065
GLYCOLYSIS,FEK30_RS04850
GLYCOLYSIS,FEK30_RS09555
GLYCOLYSIS,FEK30_RS05315
GLYCOLYSIS,FEK30_RS10690
GLYCOLYSIS,FEK30_RS05700
PWY0-381,FEK30_RS03860
PWY0-381,FEK30_RS03840
PWY0-381,FEK30_RS03910
PWY-7344,FEK30_RS12905
PWY-7219,FEK30_RS08515
PWY-7219,FEK30_RS02940
PWY-7219,FEK30_RS09125
PWY0-162,FEK30_RS02140
PWY0-162,FEK30_RS02055
PWY0-162,FEK30_RS08525
PWY0-162,FEK30_RS14750
PWY0-162,FEK30_RS14625
PWY0-162,FEK30_RS10150
PWY0-162,FEK30_RS07140
PWY0-162,FEK30_RS06820
PWY0-162,FEK30_RS15200
PWY0-162,FEK30_RS09620
PWY0-162,FEK30_RS08165
PWY0-162,FEK30_RS11295
GLUTAMINDEG-PWY,FEK30_RS12115
GLUTAMINDEG-PWY,FEK30_RS09235
GLUTAMINDEG-PWY,FEK30_RS02310
GLUTAMINDEG-PWY,FEK30_RS11295
GLUTAMINDEG-PWY,FEK30_RS11005
GLUTAMINDEG-PWY,FEK30_RS02140
GLUTAMINDEG-PWY,FEK30_RS02055
GLUTAMINDEG-PWY,FEK30_RS12455
GLUTAMINDEG-PWY,FEK30_RS02260
GLUTAMINDEG-PWY,FEK30_RS08870
GLUTAMINDEG-PWY,FEK30_RS01525
GLUTAMINDEG-PWY,FEK30_RS13145
PWY-8277,FEK30_RS08495
PWY-8277,FEK30_RS13365
PWY-8277,FEK30_RS05910
PWY-8277,FEK30_RS06625
PWY-8277,FEK30_RS14155
PWY-8277,FEK30_RS05565
PWY-6700,FEK30_RS12110
PWY-6700,FEK30_RS03565
PWY-6700,FEK30_RS10120
PWY-6700,FEK30_RS14105
PWY-5837,FEK30_RS10425
PWY-5837,FEK30_RS02880
PWY-5837,FEK30_RS09390
PWY-5837,FEK30_RS11950
PWY-5837,FEK30_RS05400
PWY-5837,FEK30_RS10605
GLUTSYN-PWY,FEK30_RS12115
GLUTSYN-PWY,FEK30_RS09235
GLUTSYN-PWY,FEK30_RS02310
GLUTSYN-PWY,FEK30_RS11295
GLUTSYN-PWY,FEK30_RS11005
GLUTSYN-PWY,FEK30_RS02140
GLUTSYN-PWY,FEK30_RS02055
GLUTSYN-PWY,FEK30_RS12455
GLUTSYN-PWY,FEK30_RS02260
GLUTSYN-PWY,FEK30_RS08870
GLUTSYN-PWY,FEK30_RS01525
GLUTSYN-PWY,FEK30_RS13145
PWY-6123,FEK30_RS05645
PWY-6123,FEK30_RS02940
PWY-6123,FEK30_RS12805
PWY-6123,FEK30_RS03780
PWY-6123,FEK30_RS07120
METHIONINE-DEG1-PWY,FEK30_RS12900
METHIONINE-DEG1-PWY,FEK30_RS14620
PWY-8328,FEK30_RS13630
PWY-8164,FEK30_RS13495
PWY-8164,FEK30_RS08710
PWY-5704,FEK30_RS05035
PWY-5704,FEK30_RS10780
PWY-5704,FEK30_RS01750
ARO-PWY,FEK30_RS09830
ARO-PWY,FEK30_RS13565
ARO-PWY,FEK30_RS14975
ARO-PWY,FEK30_RS04890
ARO-PWY,FEK30_RS02205
ARO-PWY,FEK30_RS12990
ARO-PWY,FEK30_RS02250
PHESYN,FEK30_RS01580
PHESYN,FEK30_RS02325
PHESYN,FEK30_RS15175
PWY-8280,FEK30_RS06715
PWY-8280,FEK30_RS09245
PWY-8280,FEK30_RS09360
PWY-8280,FEK30_RS01395
PWY-8280,FEK30_RS04395
PWY-8280,FEK30_RS07480
PWY-8280,FEK30_RS15415
PWY-8280,FEK30_RS12725
PWY0-522,FEK30_RS05375
PWY-6823,FEK30_RS11000
PWY-6823,FEK30_RS12800
PWY-6823,FEK30_RS05895
PWY-6823,FEK30_RS15735
PWY-6823,FEK30_RS13495
PWY-6823,FEK30_RS08710
PWY-6630,FEK30_RS09830
PWY-6630,FEK30_RS13565
PWY-6630,FEK30_RS14975
PWY-6630,FEK30_RS04890
PWY-6630,FEK30_RS02205
PWY-6630,FEK30_RS12990
PWY-6630,FEK30_RS02250
PWY-6630,FEK30_RS07490
PWY-6630,FEK30_RS02325
PWY-6630,FEK30_RS15175
PWY-7964,FEK30_RS03575
PWY-7052,FEK30_RS01590
PWY-7052,FEK30_RS01585
PWY-7052,FEK30_RS08215
PWY-7229,FEK30_RS08515
PWY-7229,FEK30_RS02940
PWY-7229,FEK30_RS09125
PWY-7229,FEK30_RS10945
PWY-7229,FEK30_RS05990
PWY-7229,FEK30_RS08165
PWY-5886,FEK30_RS15175
PWY-5723,FEK30_RS13440
PWY-5723,FEK30_RS13420
PWY-5723,FEK30_RS09250
PWY-5723,FEK30_RS11515
PWY-5723,FEK30_RS02435
PWY-5723,FEK30_RS10520
PWY-5723,FEK30_RS05675
PWY-5723,FEK30_RS03935
PWY-5723,FEK30_RS02995
PWY-5723,FEK30_RS12630
PWY-5723,FEK30_RS04410
PWY-5723,FEK30_RS15390
PWY-7965,FEK30_RS03575
PWY-7205,FEK30_RS05785
PWY-7205,FEK30_RS08165
PANTO-PWY,FEK30_RS05785
PANTO-PWY,FEK30_RS13585
PANTO-PWY,FEK30_RS15780
ARGSYNBSUB-PWY,FEK30_RS03685
ARGSYNBSUB-PWY,FEK30_RS02050
ARGSYNBSUB-PWY,FEK30_RS07475
ARGSYNBSUB-PWY,FEK30_RS05685
ARGSYNBSUB-PWY,FEK30_RS14775
ARGSYNBSUB-PWY,FEK30_RS02200
ARGSYNBSUB-PWY,FEK30_RS02140
ARGSYNBSUB-PWY,FEK30_RS02055
ARGSYNBSUB-PWY,FEK30_RS09790
PWY-8171,FEK30_RS07975
PWY-8171,FEK30_RS14705
PWY-8171,FEK30_RS11050
PWY-8171,FEK30_RS11045
PWY-8283,FEK30_RS04390
PWY-8283,FEK30_RS05655
PWY-8283,FEK30_RS09680
PWY-8283,FEK30_RS04385
PWY-8283,FEK30_RS13705
PWY-8283,FEK30_RS05920
VALSYN-PWY,FEK30_RS07360
VALSYN-PWY,FEK30_RS13755
VALSYN-PWY,FEK30_RS10565
VALSYN-PWY,FEK30_RS03655
VALSYN-PWY,FEK30_RS03175
VALSYN-PWY,FEK30_RS03500
PWY-66,FEK30_RS02470
PWY-66,FEK30_RS03810
PWY0-1324,FEK30_RS04045
PWY490-3,FEK30_RS13575
PWY490-3,FEK30_RS13695
BSUBPOLYAMSYN-PWY,FEK30_RS15695
BSUBPOLYAMSYN-PWY,FEK30_RS06235
PWY-6012-1,FEK30_RS14725
PWY-5122,FEK30_RS14230
PWY-7221,FEK30_RS05390
PWY-7221,FEK30_RS11005
PWY-7221,FEK30_RS13670
PWY-7221,FEK30_RS08165
PWY-7731,FEK30_RS05550
PWY-7731,FEK30_RS15220
PWY-7731,FEK30_RS15060
PWY-7731,FEK30_RS12095
PWY-7731,FEK30_RS11280
PWY-7731,FEK30_RS04825
PWY-7731,FEK30_RS04600
PWY-7731,FEK30_RS02295
PWY-7731,FEK30_RS13130
PWY-7731,FEK30_RS12310
PWY-7731,FEK30_RS10930
PWY-7731,FEK30_RS10745
PWY-7731,FEK30_RS10465
PWY-7731,FEK30_RS09600
PWY-7731,FEK30_RS09485
PWY-7731,FEK30_RS08140
PWY-7731,FEK30_RS08135
PWY-7731,FEK30_RS08000
PWY-7731,FEK30_RS07910
PWY-7731,FEK30_RS05665
PWY-7731,FEK30_RS05405
PWY-7731,FEK30_RS05230
PWY-7731,FEK30_RS05225
PWY-7731,FEK30_RS05220
PWY-7731,FEK30_RS05215
PWY-7731,FEK30_RS04715
PWY-7731,FEK30_RS03560
PWY-7731,FEK30_RS14995
PWY-7731,FEK30_RS08355
PWY-7731,FEK30_RS13880
PWY-7731,FEK30_RS13875
PWY-7731,FEK30_RS16275
PWY-7731,FEK30_RS08300
PWY-7731,FEK30_RS08295
PWY-7731,FEK30_RS07885
PWY-7731,FEK30_RS05950
PWY-7731,FEK30_RS14125
PWY-7731,FEK30_RS14120
PWY-7731,FEK30_RS12235
PWY-7731,FEK30_RS09330
PWY-7731,FEK30_RS09325
PWY-7731,FEK30_RS01565
PWY-7731,FEK30_RS07515
PWY-7731,FEK30_RS11160
PWY-7731,FEK30_RS13610
PWY-7731,FEK30_RS02770
PWY-7731,FEK30_RS02765
PWY-7731,FEK30_RS05080
PWY-7731,FEK30_RS13065
PWY-6890,FEK30_RS04145
PWY-6890,FEK30_RS08260
PWY0-1313,FEK30_RS13630
HEMESYN2-PWY,FEK30_RS02595
HEMESYN2-PWY,FEK30_RS08210
HEMESYN2-PWY,FEK30_RS14255
HEMESYN2-PWY,FEK30_RS03805
CYSTSYN-PWY,FEK30_RS12565
CYSTSYN-PWY,FEK30_RS09505
CYSTSYN-PWY,FEK30_RS05305
PWY-5667,FEK30_RS02005
PWY-5667,FEK30_RS01540
PWY-5667,FEK30_RS08845
PWY-5667,FEK30_RS09320
PWY-5667,FEK30_RS03915
PWY-5667,FEK30_RS03910
PWY-40,FEK30_RS13480
PWY-40,FEK30_RS08815
PWY0-501,FEK30_RS12180
PWY0-501,FEK30_RS08045
PWY0-501,FEK30_RS05375
PWY-7197,FEK30_RS10765
PWY-7197,FEK30_RS05785
PWY-7197,FEK30_RS08165
PWY-8159,FEK30_RS12335
PWY-5063,FEK30_RS01990
GLYCLEAV-PWY,FEK30_RS12040
GLYCLEAV-PWY,FEK30_RS09770
GLYCLEAV-PWY,FEK30_RS12845
GLYCLEAV-PWY,FEK30_RS05830
PWY-5148,FEK30_RS10605
PWY-5148,FEK30_RS15310
PWY0-1261,FEK30_RS11305
PWY0-1261,FEK30_RS03615
PWY0-1261,FEK30_RS07010
PWY0-1261,FEK30_RS03785
PWY0-1261,FEK30_RS06330
PWY0-1261,FEK30_RS02835
PWY0-1261,FEK30_RS07060
PWY0-1261,FEK30_RS04570
PWY0-1261,FEK30_RS08835
PWY0-1261,FEK30_RS04565
PWY0-1261,FEK30_RS12920
PYRUVDEHYD-PWY,FEK30_RS09770
PYRUVDEHYD-PWY,FEK30_RS05840
PWY-8148,FEK30_RS05150
PWY-8148,FEK30_RS02790
PWY-101,FEK30_RS15220
PWY-101,FEK30_RS15060
PWY-101,FEK30_RS12095
PWY-101,FEK30_RS11280
PWY-101,FEK30_RS04825
PWY-101,FEK30_RS04600
PWY-101,FEK30_RS02295
PWY-101,FEK30_RS13130
PWY-101,FEK30_RS12310
PWY-101,FEK30_RS10930
PWY-101,FEK30_RS10745
PWY-101,FEK30_RS10465
PWY-101,FEK30_RS09600
PWY-101,FEK30_RS09485
PWY-101,FEK30_RS08140
PWY-101,FEK30_RS08135
PWY-101,FEK30_RS08000
PWY-101,FEK30_RS07910
PWY-101,FEK30_RS05665
PWY-101,FEK30_RS05405
PWY-101,FEK30_RS05230
PWY-101,FEK30_RS05225
PWY-101,FEK30_RS05220
PWY-101,FEK30_RS05215
PWY-101,FEK30_RS04715
PWY-101,FEK30_RS03560
PWY-101,FEK30_RS14995
PWY-101,FEK30_RS08355
PWY-101,FEK30_RS13880
PWY-101,FEK30_RS13875
PWY-101,FEK30_RS16275
PWY-101,FEK30_RS08300
PWY-101,FEK30_RS08295
PWY-101,FEK30_RS07885
PWY-101,FEK30_RS05950
PWY-101,FEK30_RS14125
PWY-101,FEK30_RS14120
PWY-101,FEK30_RS12235
PWY-101,FEK30_RS09330
PWY-101,FEK30_RS09325
PWY-101,FEK30_RS01565
PWY-101,FEK30_RS07515
PWY-101,FEK30_RS11160
PWY-101,FEK30_RS13610
PWY-101,FEK30_RS02770
PWY-101,FEK30_RS02765
PWY-5686,FEK30_RS02140
PWY-5686,FEK30_RS02055
PWY-5686,FEK30_RS08525
PWY-5686,FEK30_RS14750
PWY-5686,FEK30_RS14625
PWY-5686,FEK30_RS10150
PWY-5686,FEK30_RS07140
PWY-5686,FEK30_RS06820
PWY-5686,FEK30_RS15200
GLUCONEO-PWY,FEK30_RS10690
GLUCONEO-PWY,FEK30_RS05700
GLUCONEO-PWY,FEK30_RS10955
GLUCONEO-PWY,FEK30_RS04065
GLUCONEO-PWY,FEK30_RS03145
GLUCONEO-PWY,FEK30_RS12220
GLUCONEO-PWY,FEK30_RS15390
GLUCONEO-PWY,FEK30_RS04410
GLUCONEO-PWY,FEK30_RS05315
GLUCONEO-PWY,FEK30_RS07065
GLUCONEO-PWY,FEK30_RS06320
GLUCONEO-PWY,FEK30_RS14730
GLUCONEO-PWY,FEK30_RS09555
