term,gene
RIBOSYN2-PWY,FEK30_RS11540
RIBOSYN2-PWY,FEK30_RS06220
PWY-6147,FEK30_RS05590
PWY-6147,FEK30_RS02450
PWY-6147,FEK30_RS05595
PWY-6147,FEK30_RS01780
PWY-6147,FEK30_RS16550
PWY-8291,FEK30_RS12435
PWY-8291,FEK30_RS05300
PWY-8291,FEK30_RS14485
PWY0-1021,FEK30_RS13495
PWY0-1021,FEK30_RS08710
PWY-5101,FEK30_RS07750
PWY-5101,FEK30_RS01325
PWY-5101,FEK30_RS03655
PWY-5101,FEK30_RS03175
PWY-5101,FEK30_RS03500
PWY-5101,FEK30_RS07360
PWY-5101,FEK30_RS13755
PWY-6019,FEK30_RS06500
PWY-4261,FEK30_RS03860
PWY-4261,FEK30_RS03910
PWY0-1319,FEK30_RS02005
PWY0-1319,FEK30_RS03915
PWY0-1319,FEK30_RS03910
PWY0-1319,FEK30_RS01540
PWY0-1319,FEK30_RS08845
PWY0-1319,FEK30_RS09320
PWY-5340,FEK30_RS10915
PWY-5340,FEK30_RS11695
PWY0-1479,FEK30_RS09450
PWY0-1479,FEK30_RS14655
PWY-5805,FEK30_RS06985
PWY1-2,FEK30_RS03530
PWY-5755,FEK30_RS06675
FASYN-ELONG-PWY,FEK30_RS04395
FASYN-ELONG-PWY,FEK30_RS15415
FASYN-ELONG-PWY,FEK30_RS12725
FASYN-ELONG-PWY,FEK30_RS01395
FASYN-ELONG-PWY,FEK30_RS09360
FASYN-ELONG-PWY,FEK30_RS09245
FASYN-ELONG-PWY,FEK30_RS06715
PWY-7587,FEK30_RS09320
PWY-7587,FEK30_RS01540
PWY-7587,FEK30_RS08845
PWY-5695,FEK30_RS05390
PWY-5695,FEK30_RS04790
PWY-5695,FEK30_RS04335
PWY-5695,FEK30_RS09615
GLUTATHIONESYN-PWY,FEK30_RS03490
GLUTATHIONESYN-PWY,FEK30_RS09835
PWY-5901,FEK30_RS09390
PWY-5901,FEK30_RS07290
PWY-6758,FEK30_RS05045
PWY-6758,FEK30_RS05055
GLUT-REDOX-PWY,FEK30_RS14615
GLUT-REDOX-PWY,FEK30_RS05470
PWY-6894,FEK30_RS10445
PWY-6894,FEK30_RS05455
PWY-6894,FEK30_RS02095
PWY-8168,FEK30_RS03925
PWY-8319,FEK30_RS05100
PWY-8319,FEK30_RS05090
PWY-8319,FEK30_RS05040
PWY-8136,FEK30_RS07320
PWY0-1275,FEK30_RS05375
PWY0-1275,FEK30_RS12180
PWY0-1275,FEK30_RS08045
TYRSYN,FEK30_RS07490
TYRSYN,FEK30_RS02325
TYRSYN,FEK30_RS15175
GLUTDEG-PWY,FEK30_RS15175
GLUTDEG-PWY,FEK30_RS14485
DETOX1-PWY-1,FEK30_RS09535
DETOX1-PWY-1,FEK30_RS04625
DETOX1-PWY-1,FEK30_RS05280
DETOX1-PWY-1,FEK30_RS01675
PWY-8128,FEK30_RS03290
PWY-8128,FEK30_RS05605
PWY-4081,FEK30_RS09535
PWY-4081,FEK30_RS04625
CALVIN-PWY,FEK30_RS13440
CALVIN-PWY,FEK30_RS13420
CALVIN-PWY,FEK30_RS12220
CALVIN-PWY,FEK30_RS04575
CALVIN-PWY,FEK30_RS07065
CALVIN-PWY,FEK30_RS10955
CALVIN-PWY,FEK30_RS04065
CALVIN-PWY,FEK30_RS05700
CALVIN-PWY,FEK30_RS09250
CALVIN-PWY,FEK30_RS10690
CALVIN-PWY,FEK30_RS05675
CALVIN-PWY,FEK30_RS03935
CALVIN-PWY,FEK30_RS02995
CALVIN-PWY,FEK30_RS10520
AMMASSIM-PWY,FEK30_RS12435
AMMASSIM-PWY,FEK30_RS05300
AMMASSIM-PWY,FEK30_RS12115
AMMASSIM-PWY,FEK30_RS09235
AMMASSIM-PWY,FEK30_RS02310
AMMASSIM-PWY,FEK30_RS11295
AMMASSIM-PWY,FEK30_RS11005
AMMASSIM-PWY,FEK30_RS02140
AMMASSIM-PWY,FEK30_RS02055
AMMASSIM-PWY,FEK30_RS12455
AMMASSIM-PWY,FEK30_RS02260
AMMASSIM-PWY,FEK30_RS08870
AMMASSIM-PWY,FEK30_RS01525
AMMASSIM-PWY,FEK30_RS13145
PWY0-1582,FEK30_RS03910
PWY0-1582,FEK30_RS08890
PWY0-1582,FEK30_RS02490
PWY-7176,FEK30_RS09620
PWY-7176,FEK30_RS08165
PWY-7176,FEK30_RS11295
PWY-5188,FEK30_RS10075
PWY-5188,FEK30_RS12335
PWY-5188,FEK30_RS13100
PWY-5188,FEK30_RS16535
PWY-5188,FEK30_RS15255
PWY-5188,FEK30_RS10695
PWY-5188,FEK30_RS11165
PWY-5188,FEK30_RS03350
PWY-6892,FEK30_RS17170
