"","U49","U50","U51","U52","U53","U54","U55","U56","U57","U58","U59","U60"
"FEK30_RS00025",101.192332999663,97.1939328866351,85.9585614190142,261.165056324302,312.302539837611,246.693144699104,93.047566039634,84.7532082559719,65.2448939720428,202.977611329958,166.285429202584,155.078078032014
"FEK30_RS00145",66.1123242264465,84.3300300045805,79.9414621196832,189.537509231139,176.760066963927,148.015886819462,110.21168016345,105.713679114976,97.0517797834137,117.346431550132,114.736946149783,159.975280496182
"FEK30_RS00170",46.548473179845,40.0210311886145,37.8217670243662,189.537509231139,230.659997697322,186.500017392522,70.4632053504025,101.157055015192,70.138261019946,195.048798387381,234.462455175643,228.536114994546
"FEK30_RS00175",146.391575072846,130.783012634222,199.423862492113,769.169659554274,857.643015493134,825.9286484526,388.451003854783,378.199800282025,318.068858113709,757.994517310311,778.215808668092,803.141204123691
"FEK30_RS00190",55.9930909264802,90.0473201743825,79.081876505493,158.68256586793,137.920410994275,127.293662664738,98.4678126050496,104.802354295019,129.674226769435,120.517956727162,123.051217609912,114.268057497273
"FEK30_RS00205",255.679294712482,262.995347810895,227.790187760388,49.5883018337283,38.8396559696521,41.4444483094494,224.036858037177,283.42201900653,255.270647665617,26.95796400476,36.5827944245684,32.6480164277923
"FEK30_RS00210",366.990861012111,345.1813940018,306.872064265881,79.3412829339652,91.9469406628499,86.8359869340845,415.552236681861,416.475442720206,419.198443770375,71.3593164831883,46.5599201767235,63.663632034195
"FEK30_RS00250",201.710050445995,207.251768655325,134.954941427852,73.8314716191065,91.9469406628499,78.9418063037132,104.791433598034,126.67414997398,96.2362186087631,93.5599927224024,91.4569860614211,88.1496443550393
"FEK30_RS00255",24.2861599199191,24.2984832216588,24.9279828115141,9.91766036674565,8.7191064421668,3.94709031518566,18.9708629789545,18.2264963991338,15.4956623183602,0,4.98856287607751,17.9564090352858
"FEK30_RS00260",17.5400043866083,15.0078866957304,14.6129554412324,1.10196226297174,6.34116832157585,9.86772578796415,5.42024656541557,10.9358978394803,15.4956623183602,9.51457553109177,13.3028343362067,1.63240082138962
"FEK30_RS00275",58.0169375864735,54.3142566131196,70.4860203635916,322.87494305072,317.85106211899,258.534415644661,63.2362099298484,74.7286352364484,68.5071386706449,318.738280291574,347.5365470334,360.760581527105
"FEK30_RS00290",163.256963906123,182.953285433666,228.649773374578,17.6313962075478,26.9499653666974,18.7486789971319,106.598182453173,103.891029475062,115.809686800376,6.34305035406118,14.9656886282325,27.7508139636235
"FEK30_RS00375",72.8584797597574,87.1886750894815,70.4860203635916,278.79645253185,268.707007626777,307.873044584482,99.3711870326188,90.2211571757121,61.1670880987901,137.961345200831,201.205369335126,204.050102673702
"FEK30_RS00420",32.3815465598922,42.8796762735155,41.2601094811268,141.051169660383,128.408658511911,136.174615873905,65.9463332125561,68.3493614967516,65.2448939720428,214.077949449565,181.251117830816,190.990896102585
"FEK30_RS00595",2.69846221332435,5.71729016980207,6.01709929933099,17.6313962075478,4.75587624118189,10.8544983667606,9.03374427569262,6.37927373969681,7.34005057185481,0,3.32570858405168,4.89720246416885
"FEK30_RS00615",273.21929909909,236.55288077556,255.296927414472,308.549433632087,340.837797284702,237.812191489936,97.5644381774803,158.570518672464,123.149737372231,553.431143391838,407.39930154633,486.455444774106
"FEK30_RS00620",199.686203786002,197.961172129396,185.670492665071,321.772980787748,279.011406149338,301.952409111703,113.825177873727,111.181628034716,89.7117292115588,447.185049961313,365.827944245684,378.716990562391
