"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id"
155.991029583211,0.880161417092842,0.173542393216703,151.004284901608,1.59999586813731e-32,2.75423642983784e-32,"FEK30_RS00025"
120.811089718598,0.770050715726634,0.183350392178086,50.5020972463866,6.2454141023097e-11,7.94225991475004e-11,"FEK30_RS00145"
135.90789047141,2.39633297418713,0.192703828301631,222.315359130425,6.34159397735115e-48,1.25531269749688e-47,"FEK30_RS00170"
529.45091383765,2.30331491081012,0.136237823514122,379.030691503605,7.70814111881446e-82,1.98482861007927e-81,"FEK30_RS00175"
111.650046053096,0.672911886493289,0.199280393916987,24.8123486928553,1.69001672450724e-05,1.9089414091589e-05,"FEK30_RS00190"
144.60462799692,-2.9608714525444,0.228200070633353,439.177739831386,7.21126167024168e-95,2.01843214150065e-94,"FEK30_RS00205"
225.83146013977,-2.48750135266447,0.173277584034945,538.292774765409,2.39586882073128e-116,7.79771724328703e-116,"FEK30_RS00210"
115.792117036207,-0.998196354990425,0.202681967645194,46.2678201184847,4.97450271729991e-10,6.21590763648324e-10,"FEK30_RS00250"
14.3112063904168,-1.68719430205282,0.535252402646083,19.4475202395805,0.000220910353868884,0.000242007076508418,"FEK30_RS00255"
10.0644433590022,-0.95205286609957,0.607211026081953,6.71402614762115,0.0815934140217821,0.0836556651454095,"FEK30_RS00260"
192.965419005548,2.49826770230894,0.15751166130095,453.949347969831,4.54515687652241e-98,1.31288896773852e-97,"FEK30_RS00275"
84.4623762466894,-3.55374754273201,0.319334690414559,282.738768402457,5.41024875884421e-61,1.20663635665378e-60,"FEK30_RS00290"
156.657160789393,1.23297105684524,0.193797891261694,150.770093472326,1.79738135132799e-32,3.08831823349727e-32,"FEK30_RS00375"
109.001360702088,2.33882340252585,0.179763181624323,219.358110499799,2.7635982755074e-47,5.43974090938482e-47,"FEK30_RS00420"
6.55421684445104,-0.807263085610259,0.866961211127134,7.79036203172469,0.0505489224551101,0.0519216271382947,"FEK30_RS00595"
289.903259469191,0.919977374290181,0.172228588342996,114.260884829793,1.32802173262484e-24,2.07777128542031e-24,"FEK30_RS00615"
249.375265376554,1.02995404919951,0.12668418927639,222.59249551202,5.52442595938724e-48,1.09588010349574e-47,"FEK30_RS00620"
10.2931966528826,1.1032134600602,0.574567812621929,5.38253339073108,0.145835688981649,0.148596320880828,"FEK30_RS00625"
336.277228192161,2.48027415273342,0.13432368382288,468.804575997112,2.74624450116143e-101,8.17738123271367e-101,"FEK30_RS00635"
128.337540806606,2.04723586504767,0.161780159599514,251.053490509128,3.87230955151458e-54,8.1924372144288e-54,"FEK30_RS00640"
447.164235353666,2.3560243987628,0.116192625849188,599.87221887742,1.0742227856975e-129,3.74906431068243e-129,"FEK30_RS00645"
42.690202555129,1.1957639597645,0.276095273112061,22.797643370369,4.45010235482161e-05,4.97835191492633e-05,"FEK30_RS00650"
43.8604660330428,-0.76466433727906,0.268902857288514,21.9037580502821,6.83090493615008e-05,7.61437790373718e-05,"FEK30_RS00680"
15.6319470728004,-1.52580143472524,0.615493408579914,6.69366927196285,0.082329727074752,0.0843487943199967,"FEK30_RS00785"
1064.23015317532,1.78927135195425,0.0861956751222032,515.165764312954,2.46564065945139e-111,7.76302385354831e-111,"FEK30_RS00820"
122.287495601798,2.11764560265476,0.169407239419907,284.365750271531,2.40524807820273e-61,5.39446263693063e-61,"FEK30_RS00825"
85.0875539537213,2.41857657383617,0.227486687767695,158.518936880789,3.82600109897797e-34,6.70988538598956e-34,"FEK30_RS00830"
13.4038818277454,4.14185813625795,0.701635839031584,61.7866965734939,2.44029649226756e-13,3.23715160277578e-13,"FEK30_RS00865"
44.2480509829244,0.273648781673029,0.256899197193448,15.2428327486606,0.00162046206838882,0.00174114139325156,"FEK30_RS00945"
8.39699176592319,5.17699246860898,1.73131844103688,16.7299628266794,0.000803110189520944,0.000867247461600742,"FEK30_RS00955"
47.7207543035768,0.15065152997334,2.54280881697356,0.443911475456417,0.931029234127898,0.931694968296027,"FEK30_RS01000"
43.9083585309543,1.07856886127984,0.257754934993667,37.4947675308571,3.61569242407488e-08,4.32677344804857e-08,"FEK30_RS01005"
173.237261449187,1.22567972326303,0.1674195512235,119.029129087319,1.24888788015001e-25,1.98390305138473e-25,"FEK30_RS01010"
101.304221161546,1.88005002036582,0.201180563358713,159.208384207705,2.71621567673937e-34,4.77255974839516e-34,"FEK30_RS01015"
275.008816351231,1.82803822017575,0.130301842483714,337.998800128764,5.91793230779935e-73,1.44540074428712e-72,"FEK30_RS01170"
1081.18144879271,1.48944369645424,0.0808324714326133,386.134839541022,2.23005153516164e-83,5.81183821873132e-83,"FEK30_RS01175"
233.696258282059,0.798675714766029,0.140139755781466,39.1182004000584,1.63841863835532e-08,1.9707493634536e-08,"FEK30_RS01180"
1436.64530020233,-4.38085815384204,0.143628039610051,1944.4685403353,0,0,"FEK30_RS01185"
16214.4962598671,-2.67378215994954,0.0843444074408219,1724.11368686079,0,0,"FEK30_RS01190"
2554.43196560832,-3.32615222524725,0.172361117931654,584.577495726626,2.22183503983808e-126,7.60258713509386e-126,"FEK30_RS01195"
777.680677091903,-1.72740313105417,0.151162248639981,225.692419177713,1.18065787020491e-48,2.35878756509888e-48,"FEK30_RS01200"
192.62699624857,-2.15676753548193,0.208688515013346,188.713099830476,1.15769845841245e-40,2.15451993689924e-40,"FEK30_RS01205"
400.43845732765,-1.35570752766567,0.16287273384405,95.1093757069618,1.74907946262773e-20,2.60269719080011e-20,"FEK30_RS01210"
