"","U4","U5","U6","U22","U23","U24","U25","U26","U27","U28","U29","U30","U31","U32","U33","U40","U41","U42","U43","U44","U45","U46","U47","U48"
"FEK30_RS00025",88.1276332566529,108.970521085787,123.806743360276,109.407828078845,105.583538153079,123.149053906656,58.0285246487177,96.3208315887371,63.6130601160654,131.875593952333,132.169948850937,109.652734165665,119.570648904726,74.3573233667593,101.47714238609,117.659629415403,101.251626350221,107.217020705907,142.234890554184,128.852845029606,149.37126001279,140.010101420774,150.544258109046,122.163422737698
"FEK30_RS00145",287.883601971733,312.809495822729,341.370049653577,265.415286635717,250.453974223582,244.22837581488,126.715349743118,177.823073702284,167.707158487809,243.462634988923,263.389034760501,224.527027101123,211.810863774086,228.290027880401,212.97671858809,251.832891029458,236.587958600516,149.717461346086,184.30436522514,208.073483084846,188.248711248995,240.452130700895,209.190013276024,171.393458766323
"FEK30_RS00170",255.570136444293,293.579403866414,283.673703233254,231.985116944959,297.92564254047,277.34408778978,162.243017895394,208.69513510893,141.683633894873,215.284089272612,211.09157298495,264.210873751554,353.587490332548,401.790449069507,335.751532832989,335.433154035139,405.006505400883,342.90128243781,253.418502184568,309.246828071055,316.476094273673,145.488757563327,107.617983708475,123.378979182849
"FEK30_RS00175",1136.84646901082,1199.95773807407,1049.35230051962,930.979574115359,945.340981138031,974.843771261091,616.997170244529,721.171354459263,688.177650346526,990.757667385477,1025.03025080079,1025.51414238745,1199.12279330168,1616.29339739324,1319.20285101917,1483.13059184152,1480.67972395323,1394.78718828225,1141.88574106881,1287.57398477732,1220.20632037845,488.817875829921,497.582025798174,483.791465170188
"FEK30_RS00190",107.221953795594,129.482619172523,146.644880484987,134.733714208208,119.497647832167,121.079321908225,54.4757578334901,87.6766543948761,54.9385519184201,125.112742980419,157.843248268026,127.406033982963,147.755159003697,118.710814497809,156.600528373596,154.815301862372,135.336332250295,143.921946713335,131.216694807029,142.215362291936,157.555986588833,111.399341565225,110.036365364845,108.792301841035
"FEK30_RS00205",63.1581371672679,46.1522206951567,73.3224402424937,54.7039140394226,48.2901453568345,49.6735679623486,29.6063901268968,43.2208859693051,33.2522814243069,63.1199424045355,62.7569541306608,61.6143934835639,46.1201074346801,44.3534911310494,60.1346028954608,38.1877744593851,35.0871972500765,42.5004406401793,51.0843621004465,52.4956035305803,38.8774512362055,74.2662277101499,65.9009001360886,65.0322698155906
"FEK30_RS00210",44.0638166283265,99.9964781728395,84.1405051963042,55.7169494845971,67.9335943155468,75.5452179427384,68.6868250944005,55.5697105319637,62.1673087497912,95.8070554354557,89.3811164891229,99.2096166260775,72.5964654064409,73.0528089217285,75.168253619326,67.0866308070279,74.1843599001617,85.9668003858173,54.0893245769434,60.1313276804829,77.0728419244074,113.834299850804,107.013388294382,82.0500600477077
"FEK30_RS00250",107.221953795594,82.0483923469453,94.9585701501147,104.342650852973,112.949831512596,132.462847899596,101.845982036525,125.958010539118,96.8653415403724,85.6627789775839,122.661319437201,113.829981181499,79.4290739152824,106.970184492531,125.280422698877,132.109057589224,111.276539850243,114.944373549576,101.167070042061,90.6742242800933,126.181201380667,199.666579417452,211.608394932395,206.036817453133
"FEK30_RS00255",4.40638166283265,6.4100306521051,12.0200721709006,9.11731900657044,13.0956326391416,11.3835259913715,7.10553363045522,4.93952982506344,8.67450819764529,5.6357091432621,5.70517764824189,10.4431175395871,9.39483669965706,2.60902889006173,11.2752380428989,7.22471408691069,10.0249135000219,5.79551463275173,8.01323327065828,5.72679311242694,5.45648438402884,16.4359684276561,16.324076180499,15.8022337869659
"FEK30_RS00260",1.46879388761088,6.4100306521051,4.80802886836024,8.10428356139595,13.9141096790879,6.20919599529357,8.28978923553109,4.93952982506344,1.44575136627421,6.76285097191452,6.65604058961554,4.17724701583484,9.39483669965706,1.30451444503087,3.7584126809663,9.28891811174232,3.00747405000656,11.5910292655035,3.00496247649686,3.81786207495129,6.13854493203245,15.8272288562615,13.3010991100362,4.25444755802929
