"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FEK30_RS00025",155.991029583211,1.52797885009881,0.161514374782352,9.46032730620931,3.06980778391352e-21,5.65288946524601e-21
"FEK30_RS00145",120.811089718598,1.16100858966989,0.169849007320898,6.83553355997179,8.17003690378156e-12,1.24961384118495e-11
"FEK30_RS00170",135.90789047141,2.28428754806125,0.187768041225283,12.1654757282182,4.74671867383538e-34,1.05528717776531e-33
"FEK30_RS00175",529.45091383765,2.37252777453702,0.133888841034548,17.7201307906222,2.93229823415754e-70,9.78248242837539e-70
"FEK30_RS00190",111.650046053096,0.914736816234512,0.186950835831221,4.89292712796608,9.93471989644294e-07,1.33752629267964e-06
"FEK30_RS00205",144.60462799692,-2.53741551227666,0.179292595416452,-14.1523720284314,1.80562472361195e-45,4.64944213559322e-45
"FEK30_RS00210",225.83146013977,-1.97677388227683,0.138022815547597,-14.3220805519298,1.59282266741967e-46,4.17054316754693e-46
"FEK30_RS00250",115.792117036207,-1.1500028843516,0.191728290262377,-5.99808657750945,1.99656071940094e-09,2.88209048664427e-09
"FEK30_RS00255",14.3112063904168,-1.70200050927475,0.475056772608913,-3.58273075432167,0.000340021025554478,0.000417420548476747
"FEK30_RS00260",10.0644433590022,-1.42032165589311,0.58499315134564,-2.42792869049149,0.015185328672703,0.0173131303278598
"FEK30_RS00275",192.965419005548,2.30743011180565,0.154027346605133,14.9806522196414,9.82481235829001e-51,2.70134084389526e-50
"FEK30_RS00290",84.4623762466894,-3.15345832839947,0.251580559534617,-12.5345866716922,4.82872387461067e-36,1.10511840760714e-35
"FEK30_RS00375",156.657160789393,1.88873363788982,0.183438745289679,10.2962633924867,7.32515951173721e-25,1.42680038088743e-24
"FEK30_RS00420",109.001360702088,1.80317207745942,0.177327516406703,10.1685971472348,2.73823864457894e-24,5.27846416403338e-24
"FEK30_RS00595",6.55421684445104,1.18846388663113,0.630420149567745,1.88519337055774,0.0594037355479907,0.0655384532119929
"FEK30_RS00615",289.903259469191,0.215343408777766,0.171953670290765,1.2523338897834,0.210448224850294,0.224141773727539
"FEK30_RS00620",249.375265376554,0.625099725069706,0.124165873935602,5.03439234353485,4.79366981407398e-07,6.50386903034079e-07
"FEK30_RS00625",10.2931966528826,0.742677909702902,0.558402670012455,1.3300042238092,0.183516879646218,0.196279612583021
"FEK30_RS00635",336.277228192161,1.87669681745305,0.133631475406731,14.043823221595,8.40529857151306e-45,2.15049640783044e-44
"FEK30_RS00640",128.337540806606,1.53284301000163,0.159330990916544,9.62049505362403,6.55150832390992e-22,1.22088360843035e-21
"FEK30_RS00645",447.164235353666,1.82882743644962,0.115310564838774,15.8600162873772,1.19862796834673e-56,3.50937205376831e-56
"FEK30_RS00650",42.690202555129,1.03762444969979,0.262982905520588,3.94559656889394,7.96015420206352e-05,9.97335345191396e-05
"FEK30_RS00680",43.8604660330428,-1.04934403234172,0.251159911090638,-4.17799173357342,2.94094341213673e-05,3.75533786978591e-05
"FEK30_RS00785",15.6319470728004,-0.718340075718054,0.535016334760372,-1.34265073614956,0.179385093519975,0.192007218647193
"FEK30_RS00820",1064.23015317532,1.26998000293001,0.0856191608803194,14.8328947617837,8.97764708880444e-50,2.45394865249645e-49
"FEK30_RS00825",122.287495601798,1.80446169639092,0.165174963119462,10.9245472940463,8.7978010519192e-28,1.7857175594142e-27
"FEK30_RS00830",85.0875539537213,1.52977119479032,0.228716787937814,6.68849544706902,2.2547666049276e-11,3.42064592259748e-11
"FEK30_RS00865",13.4038818277454,3.37494834353909,0.701605035697092,4.81032514281465,1.5068497502882e-06,2.01417022495543e-06
"FEK30_RS00945",44.2480509829244,-0.661278990675704,0.261683623670323,-2.52701709568499,0.011503590291949,0.0132177952492468
"FEK30_RS00955",8.39699176592319,6.40390797654749,1.68144932494842,3.80856436261851,0.000139775965712604,0.000173581360695758
"FEK30_RS01000",47.7207543035768,1.43797494170148,2.53798436320275,0.566581481962664,0.570998559166377,0.586074428715324
"FEK30_RS01005",43.9083585309543,0.529827248080907,0.253271691889916,2.09193235978064,0.0364445668593275,0.0407544317376179
"FEK30_RS01010",173.237261449187,0.882914128731538,0.164258486542094,5.37515075974645,7.65186305199164e-08,1.06237920052205e-07
"FEK30_RS01015",101.304221161546,1.66952134610546,0.195779474053325,8.52756068621743,1.49465921884302e-17,2.56345046172892e-17
"FEK30_RS01170",275.008816351231,2.01196721502091,0.124674294165089,16.1377870915133,1.38415623836879e-58,4.15246871510638e-58
"FEK30_RS01175",1081.18144879271,0.880617053634076,0.0804202272148994,10.95019355368,6.63057811098509e-28,1.34974459146526e-27
"FEK30_RS01180",233.696258282059,0.567400574415071,0.13593536136602,4.17404690518521,2.99236106455835e-05,3.81925153657036e-05
"FEK30_RS01185",1436.64530020233,-3.86970438777949,0.123320113245049,-31.3793450715539,3.87202369170052e-216,4.08973370304519e-215
"FEK30_RS01190",16214.4962598671,-1.98629911370682,0.0831877256657719,-23.8773099974784,5.27136318696054e-126,2.98675011342157e-125
"FEK30_RS01195",2554.43196560832,-2.58602070280853,0.167170929342911,-15.469320610786,5.58938223343636e-54,1.59152399505477e-53
"FEK30_RS01200",777.680677091903,-1.87654927871715,0.148000135118152,-12.6793754425903,7.69424982260409e-37,1.78132384230512e-36
"FEK30_RS01205",192.62699624857,-2.31059322375357,0.198028641107599,-11.6679749496342,1.85793165852032e-31,4.00952252289775e-31
"FEK30_RS01210",400.43845732765,-1.20944912581811,0.156317180190043,-7.73714779365722,1.0167184746575e-14,1.65549447967792e-14
"FEK30_RS01215",469.48085358665,2.36993347079472,0.0999671002408044,23.7071342980435,3.0437929347213e-124,1.697126777746e-123
"FEK30_RS01220",1325.84524320602,1.01659301995709,0.10805974346521,9.40769418247218,5.07139861298549e-21,9.29590354796751e-21
"FEK30_RS01230",2095.12856447942,1.09119649939685,0.075890964853166,14.3784770889144,7.06317057198439e-47,1.86507683311173e-46
"FEK30_RS01235",894.593119514336,0.403894662554223,0.0854796769760158,4.7250373052714,2.30073116288403e-06,3.05162444328971e-06
"FEK30_RS01240",2308.14346295496,0.0958727480790287,0.0864174615816118,1.1094140735491,0.267251593866409,0.282384753201993
"FEK30_RS01245",1912.03220704796,0.222061283133904,0.0871521328014424,2.54797302138117,0.0108350850003474,0.0124650238043454
"FEK30_RS01250",1619.74748711338,-0.315473086547875,0.0908725757351903,-3.47159837823006,0.000517369724110354,0.000631263233559233
"FEK30_RS01255",353.68682050881,-1.26848414840031,0.112528586583354,-11.2725502640229,1.79300055806107e-29,3.75644353444081e-29
"FEK30_RS01260",3002.91113657394,3.19407560240199,0.0790590777903446,40.4011239654516,0,0
"FEK30_RS01265",1300.7128304564,0.832427705280028,0.0859627727708328,9.68358370080951,3.54081952906816e-22,6.61599056199051e-22
"FEK30_RS01270",470.593315044683,-0.365922495065862,0.103195612811193,-3.54591135318276,0.00039125780138756,0.000479479240842286
"FEK30_RS01275",7220.85425576395,0.577953955481088,0.443380351478081,1.30351729289398,0.192398216469228,0.205464558526275
"FEK30_RS01285",2600.9057918466,-0.594353481085383,0.334212564017335,-1.77836965176017,0.0753431636464708,0.0826677832404829
"FEK30_RS01290",6822.84369688918,-1.57327974394379,0.264578091223435,-5.94637196401557,2.74150786493375e-09,3.94118156854113e-09
"FEK30_RS01295",6492.76623032288,1.71901689696275,0.0841463989774912,20.428882493505,9.25969097079999e-93,3.92100983771092e-92
"FEK30_RS01300",118.638742581408,-2.13898906779995,0.22951634241632,-9.31955016919899,1.16834577456438e-20,2.11389775242773e-20
"FEK30_RS01305",1911.18919274861,0.574846661540758,0.0838013959187486,6.85963109848567,6.90385962849916e-12,1.05884400548872e-11
"FEK30_RS01310",545.993911789386,-0.108377916987289,0.098109292951976,-1.10466515175417,0.269304708778084,0.284446747120701
"FEK30_RS01315",547.850536467456,-1.08287960317994,0.0879684011420802,-12.3098702388707,8.01519500098828e-35,1.80486973513807e-34
"FEK30_RS01320",4447.07269788581,-1.33089522595033,0.154958609045104,-8.5887143292758,8.79478859688737e-18,1.51673526079407e-17
"FEK30_RS01325",1041.13045447542,-2.63389423930789,0.158964774258936,-16.5690433719458,1.16667069730762e-61,3.60034319929881e-61
"FEK30_RS01330",347.362931188417,2.94576887645384,0.138090680753688,21.3321337861185,5.71410095715418e-101,2.63923573912121e-100
"FEK30_RS01335",1460.3068494498,1.56340186664041,0.0908313619861054,17.2121372228192,2.15335844247246e-66,6.94383672866408e-66
"FEK30_RS01340",2721.85614390263,2.52236183666754,0.0813246413301138,31.0159601740971,3.2845569355644e-211,3.34308176823445e-210
"FEK30_RS01345",647.055527795084,1.15594068219131,0.105305850564818,10.9769844314566,4.93110580597988e-28,1.00819321774563e-27
"FEK30_RS01350",861.471065599869,-0.424260682621248,0.142452978120581,-2.97825070573203,0.00289898751536,0.00342518617792007
"FEK30_RS01355",214.059186179202,-2.29109160588361,0.146275005752628,-15.6629055941258,2.71217866964977e-55,7.82617329520589e-55
"FEK30_RS01360",549.594284099879,-1.70465246402568,0.115414128900589,-14.7698767929355,2.29131428168932e-49,6.23264205485753e-49
"FEK30_RS01365",1933.7725788499,-0.685611911451368,0.0677199473482816,-10.1242239295504,4.3138723585413e-24,8.29294555738811e-24
"FEK30_RS01370",5624.52619852447,2.04122273199125,0.0913021371779696,22.3567902689114,1.03708348906523e-110,5.24918026382205e-110
"FEK30_RS01375",2044.63032869047,1.18763884483802,0.120410169891958,9.86327688021424,6.00567241125533e-23,1.13657045835725e-22
"FEK30_RS01380",1230.20261249695,-0.411161184978202,0.0881975217688189,-4.6618224268923,3.13421565321428e-06,4.12637328943874e-06
"FEK30_RS01385",1562.65137802078,1.48926808541864,0.0670680018839913,22.2053444799899,3.04948018768174e-109,1.51607372030572e-108
"FEK30_RS01390",764.853728031411,-0.55169200169184,0.0947857693615095,-5.82040959743342,5.87035879469964e-09,8.36615797676389e-09
"FEK30_RS01395",935.275616360484,-2.99155863732518,0.0959210377960219,-31.1877217559592,1.56328494777255e-213,1.62060539585754e-212
"FEK30_RS01400",2692.03079944246,3.4203431181467,0.0862882219720869,39.6385861242237,0,0
"FEK30_RS01405",27728.2831572791,0.339122148365306,0.102317674612157,3.31440437491151,0.000918385864573781,0.00111279741772382
"FEK30_RS01410",852.11682143266,0.185039258595241,0.0744430308788748,2.48564917911948,0.0129315375266414,0.0148038337574925
"FEK30_RS01415",2090.67988249242,1.11403337406445,0.102432056359704,10.8758274865865,1.50285875475918e-27,3.03718531015952e-27
"FEK30_RS01420",1108.3416773734,0.595323270412908,0.0806221666738301,7.3841140095054,1.53471899205573e-13,2.43243400836012e-13
"FEK30_RS01425",167.335073477987,0.582494495369916,0.12800272940537,4.55064120957314,5.34826796094343e-06,6.99523459003769e-06
"FEK30_RS01430",482.555284482334,0.119499518834432,0.123404580307029,0.968355619678936,0.332866795890337,0.349603813019532
"FEK30_RS01435",395.172101990729,0.304682998698507,0.129357986985715,2.35534740295668,0.0185053959029437,0.0210298835291674
"FEK30_RS01440",59.7439801201612,0.175471982080755,0.203445377514102,0.862501690747885,0.388411503091291,0.404450817393051
"FEK30_RS01445",33.2097848784433,-0.163416934281745,0.293738838050777,-0.556334107420605,0.577982474909474,0.593025273926546
"FEK30_RS01450",79.5335815892331,-0.185449827188426,0.198704528388301,-0.933294418061912,0.350667976406521,0.367335204327041
"FEK30_RS01455",203.886317513217,-0.385952431772287,0.119759980836341,-3.22271621185139,0.00126981291627856,0.00153000703945918
"FEK30_RS01460",114.825054585629,-0.46248448486463,0.2113377143522,-2.18836702328429,0.0286428783614557,0.0322102918978362
"FEK30_RS01465",815.39629728888,-0.237924667572858,0.088467060096977,-2.6894153294124,0.00715773024965794,0.00830272978400023
"FEK30_RS01470",2231.40882957975,0.358156496909916,0.0652838462968936,5.48614270184259,4.10805081652291e-08,5.73487991792899e-08
"FEK30_RS01475",8833.42048453805,0.691629355128391,0.0750046196836449,9.22115675068485,2.93912158704473e-20,5.29382324461917e-20
"FEK30_RS01480",7716.77883829294,1.5360009059862,0.0568675648003435,27.0101403388548,1.12345027632591e-160,8.06291621393907e-160
"FEK30_RS01485",735.759932760829,-2.10519916974863,0.111099085204687,-18.9488434208981,4.51395525345715e-80,1.68236494732711e-79
"FEK30_RS01490",1583.66655761424,1.41240882982566,0.0817029578745398,17.287119910573,5.88185439942242e-67,1.91433842604458e-66
"FEK30_RS01495",3393.63973360764,3.41862745408935,0.0860593616142495,39.7240624374246,0,0
"FEK30_RS01500",2162.80850943007,-0.971827243242263,0.0797354807316647,-12.188140515673,3.59531567557268e-34,8.01855663420552e-34
"FEK30_RS01505",2549.25181539261,0.490013201949408,0.103853775173173,4.71829936978534,2.37824349994904e-06,3.14737756801767e-06
"FEK30_RS01510",605.960009435803,-0.998872839110151,0.130386722497665,-7.6608478223543,1.84709620788149e-14,2.98155841168414e-14
"FEK30_RS01515",411.650299149686,-0.375584049009619,0.125014993126783,-3.00431203982649,0.00266182171750398,0.00315295767553688
