"","U1","U2","U3","U7","U8","U9","U10","U11","U12","U13","U14","U15","U16","U17","U18","U19","U20","U21","U34","U35","U36","U37","U38","U39"
"FEK30_RS00025",150.665324689715,116.943702981951,145.429642604523,105.853189527833,91.9577497241752,94.0844078624402,82.5256676354484,107.285398293424,73.3602447275427,85.7331689334729,97.6503429829762,73.1920606689063,71.9007607076946,82.0861169503157,99.9007274133173,106.08431720933,88.8121776401202,91.6367734099342,83.1182783197623,109.872611679892,115.32244733124,164.657081128862,166.409656218425,191.263104701768
"FEK30_RS00145",202.713345946163,220.191296605655,169.500755863202,227.219346486469,217.927269894278,237.740170405091,215.836361508096,218.313310480804,278.157594591933,206.768230957199,171.366778372086,156.323783897787,112.540321107696,148.386442179417,142.48136532719,155.530397264527,209.462683113491,218.65804348311,204.069704012658,230.552365492233,276.640552846617,205.821351411077,214.869611051263,216.475059412456
"FEK30_RS00170",215.040508875321,219.137749731944,206.610388803667,170.642641738835,163.760376221134,181.087193627707,187.904597077636,243.263403107182,268.98756400099,137.004966040746,150.304939689483,148.191332712353,106.288081046157,183.115183966089,149.032232698555,115.97353322037,124.001908403187,140.630691866731,217.253982642689,196.930145524616,209.31357492491,208.108255315645,267.901259736256,201.695637685501
"FEK30_RS00175",1073.8328596067,1079.88554555405,947.800084560509,589.492762370519,658.820590489639,668.707458033042,794.785660612164,899.450839180913,1056.08185639025,591.726969893773,597.390333542913,604.51220478393,456.413524492322,549.345551898266,663.275321350713,533.118644958754,513.60249899428,577.039484046715,589.279931811832,596.794404425207,725.264871077395,924.671478746803,928.053851987372,925.887302306286
"FEK30_RS00190",126.010998831398,125.372077971641,129.382233765403,83.0400021295933,114.632263354794,104.201010858401,107.918180754048,111.02791218738,103.927013364019,107.586721798868,147.432870778219,128.312007592404,128.170921261543,127.864912941838,147.394515855714,110.579415396166,112.271998148831,101.617016058541,123.817573221163,124.282134523157,153.985464355587,121.205906942079,109.720652451709,111.280351826483
"FEK30_RS00205",75.3326623448577,58.998624927831,69.2044506187038,99.465497056326,69.2832360935566,119.375915352343,62.2116571405688,51.1476898840741,67.2468910002475,100.862551686439,112.010687539296,102.107442661561,81.2791208000026,88.4004336388015,85.1612758277459,105.185297571963,113.109848881285,131.557744004361,40.1260653957473,32.4214263973452,40.6628282497437,64.7956106294132,53.0316486849927,58.2483091591748
"FEK30_RS00210",99.9869882031748,86.390843644324,90.2666747200485,106.765717023763,124.709824968402,145.679083141843,105.378929442188,81.0878010357273,71.8319062957189,138.686008568853,194.343329662198,161.74541802141,85.9683008461566,108.92196287638,99.9007274133173,177.10686856134,186.840713337234,199.604852972134,53.3103440257786,75.0495981420029,73.3264115978984,111.295990022286,100.5772647474,112.149729575128
"FEK30_RS00250",197.234606866537,178.049421657204,152.450383971637,146.916926844665,196.512451465361,181.087193627707,115.535934689628,119.760444606613,140.60713572779,169.785295338838,193.385973358443,212.347336508555,181.314961784621,233.629717473975,194.888304298111,161.823534726097,178.462206012694,138.816102294257,406.992949014008,450.897985637153,539.282427115453,189.813024079105,171.895688841011,174.744927477524
"FEK30_RS00255",16.436217238878,10.5354687371127,10.0296305244498,9.12527495929596,5.03878080680412,13.1515838947497,1.26962565592998,4.99001852527552,10.6983690227666,22.6940741294487,14.36034455632,25.3009592435725,12.5044801230773,9.47147503272873,22.9280357997777,20.6774516594458,10.0542087894476,15.4240113660285,65.9213931501563,53.435313877106,59.3277330201178,17.5329299350177,10.9720652451709,10.4325329837328
"FEK30_RS00260",16.436217238878,8.42837498969014,13.0385196817848,1.82505499185919,8.81786641190721,4.04664119838452,1.26962565592998,4.99001852527552,1.52833843182381,7.5646913764829,6.70149412628268,15.3612966835976,6.25224006153866,1.57857917212146,11.4640178998889,8.99019637367207,14.2434624517174,4.53647393118486,26.3685572600625,34.8230135378893,37.9964132825474,6.86071171370258,9.14338770430908,4.346888743222
"FEK30_RS00265",1.3696847699065,4.21418749484507,6.0177783146699,0.912527495929596,0,3.03498089878839,2.53925131185995,1.24750463131888,1.52833843182381,1.68104252810731,2.87206891126401,1.8072113745409,1.56306001538467,7.89289586060727,1.63771684284127,1.79803927473441,2.51355219736189,4.53647393118486,16.6236556639525,22.8150778351689,16.6650935449769,3.04920520609003,7.31471016344727,4.346888743222
"FEK30_RS00270",4.10905430971951,4.21418749484507,4.01185220977993,4.56263747964798,0,2.02332059919226,3.80887696778993,0,0,4.20260632026828,2.87206891126401,3.61442274908179,4.689180046154,3.15715834424291,6.55086737136507,3.59607854946883,6.70280585963171,2.72188435871092,44.138671935322,59.4392817284663,53.9949030857252,5.33610911065756,7.31471016344727,7.8243997377996
"FEK30_RS00275",104.096042512894,111.675968613394,96.2844530347184,73.0021996743677,61.7250648833505,70.8162209717292,71.0990367320786,78.5927917730895,99.3419980685474,61.3580522759168,67.9722975665815,72.2884549816358,148.490701461543,187.850921482453,163.771684284127,60.2343157036029,56.9738498068695,77.1200568301427,343.364473886466,390.257910338415,409.294697464633,111.295990022286,113.378007533433,125.190395804794
"FEK30_RS00290",94.5082491235488,84.2837498969014,90.2666747200485,85.7775846173821,127.229215371804,120.38757565194,68.5597854202187,53.6426991467119,96.2853212048998,67.2417011242924,67.9722975665815,75.9028777307176,48.4548604769247,23.6786875818218,45.8560715995555,88.1039244619863,99.7042371620217,118.855616997043,47.0048194635897,52.83491709197,71.3266003725012,91.476156182701,89.605199502229,63.4645756510412
"FEK30_RS00375",157.513748539248,119.050796729373,118.349640188508,115.890991983059,95.7368353292783,110.270972655978,86.3345446032383,77.3452871417706,91.7003059094284,104.224636742653,83.2899984266562,91.2641744143152,114.103381123081,85.2432752945586,78.6104084563808,85.4068655498846,100.542087894476,102.524310844778,141.014458390769,90.0595177704035,89.3249014010763,159.320972018204,178.296060234027,170.398038734302
"FEK30_RS00420",93.1385643536423,88.4979373917465,89.2637116676035,77.5648371540157,83.139883312268,103.189350558805,118.075186001488,123.502958500569,154.362181614204,84.8926476694192,89.0341362491842,82.2281175416107,89.094420876926,236.786875818218,189.975153769587,56.638237154134,85.4607747103043,83.4711203338015,282.028916781538,259.971807963898,240.643950789467,76.2301301522509,95.0912321248144,80.8521306239292
"FEK30_RS00425",1.3696847699065,1.05354687371127,4.01185220977993,0,0,0,5.0785026237199,1.24750463131888,0,1.68104252810731,3.82942521501868,1.8072113745409,4.689180046154,3.15715834424291,1.63771684284127,2.69705891210162,0,1.81458957247394,373.17240818045,405.267829966816,511.951673701691,5.33610911065756,5.48603262258545,2.6081332459332
"FEK30_RS00430",0,0,0,0,0,0,0,0,0,0,0.957356303754669,0,0,0,0,0,0,0,67.0678521614633,84.0555499190432,75.3262228232957,0.762301301522509,0.914338770430908,0.8693777486444
"FEK30_RS00435",0,0,2.00592610488997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.1512784748968,61.2404720838744,58.6611292783187,0,0,0
"FEK30_RS00595",2.73936953981301,12.6425624845352,2.00592610488997,8.21274746336637,10.0775616136082,6.06996179757678,6.34812827964988,3.74251389395664,6.11335372729523,3.36208505621462,4.78678151877334,5.42163412362269,4.689180046154,7.89289586060727,8.18858421420634,1.79803927473441,2.51355219736189,4.53647393118486,35.540229350519,40.2265846041135,47.9954694095335,3.81150650761254,4.57169385215454,5.2162664918664
"FEK30_RS00615",315.027497078496,256.011890311838,368.087440247309,305.696711136415,314.923800425257,263.031677894994,233.611120691115,195.858227117064,204.79734986439,388.320823992789,381.027808894358,352.406218035475,733.075147215408,697.731994077683,794.292668778015,264.311773385959,269.787935850176,264.022782794959,1160.21651944275,1184.58285707337,1743.16878480459,249.27252559786,204.811884576523,272.115235325697
"FEK30_RS00620",186.277128707285,252.851249690704,277.82076552726,281.058468746316,205.330317877268,179.063873028515,214.566735852166,217.065805849485,220.080734182628,332.005899301194,354.221832389227,296.382665424707,586.14750576925,563.552764447359,571.563178151602,178.005888198707,171.759400153063,200.512147758371,846.086750344615,907.799939125667,1145.89183215261,224.116582647618,250.528823098069,222.560703652966
"FEK30_RS00625",15.0665324689715,6.32128124226761,11.0325935768948,16.4254949267327,12.5969520170103,5.05830149798065,7.61775393557985,9.98003705055105,3.05667686364761,12.6078189608048,25.8486202013761,17.1685080581385,17.1936601692313,31.5715834424291,29.4789031711428,9.88921601103928,10.0542087894476,11.7948322210806,30.9543933052908,38.4253942487055,34.663394573552,7.62301301522509,15.5437590973254,12.1712884810216
"FEK30_RS00635",220.519247954947,293.939577765444,308.912620153055,367.748580859627,318.702886030361,336.882879765512,208.218607572516,218.313310480804,210.910703591685,308.471303907692,314.970223935286,302.7079052356,342.310143369242,340.973101178234,352.109121210872,267.907851935428,275.652890977354,270.373846298618,397.821276923552,385.454736057327,390.629792694259,310.256629719661,268.815598506687,322.539144747072
"FEK30_RS00640",105.465727282801,112.729515487106,116.343714083618,116.803519478988,91.9577497241752,112.294293255171,66.0205341083587,71.1077639851762,61.1335372729523,73.9658712367217,66.0575849590722,84.9389346034221,42.202620415386,61.5645877127367,81.8858421420634,82.709806637783,76.2444166533107,74.3981724714317,255.087130015822,242.560301194953,210.646782408508,99.0991691979261,107.891974910847,92.1540413563064
"FEK30_RS00645",238.325149963732,305.528593376268,332.983733411734,391.474295753797,290.989591592938,293.381486882878,323.754542262144,364.271352345113,353.046177751299,247.113251631775,264.230339836289,208.732913759473,382.949703769243,418.323480612186,496.228203380904,225.653928979169,227.895399227478,204.141326903319,924.619192619149,932.416207316244,911.913918781137,289.674494578553,352.0204266159,334.710433228094
"FEK30_RS00650",28.7633801680366,53.7308905592746,35.1037068355744,53.8391222598462,55.4265888748453,64.7462591741524,60.9420314846388,63.6227361972629,62.6618757047761,108.427243062922,142.646089259446,116.565133657888,50.0179204923093,52.093112680008,45.8560715995555,76.4166691762126,80.4336703155805,77.1200568301427,155.918425537761,179.518638755671,205.980556215915,39.6396676791704,46.6312772919763,42.5995096835756
"FEK30_RS00670",0,1.05354687371127,0,0,0,1.01166029959613,0,0,0,0,0,0,0,0,0,0,0,0,13.7575081356848,10.2067453473124,12.6654710941825,0,0,0
"FEK30_RS00675",0,1.05354687371127,0,0,0,0,0,0,0,2.52156379216097,0.957356303754669,0,0,0,0,0,0,0.907294786236972,13.1842786300313,10.2067453473124,9.33245238518707,0.762301301522509,0,1.7387554972888
"FEK30_RS00680",43.8299126370081,41.0883280747394,59.174820094254,29.2008798697471,54.1668936731443,45.5247134818259,35.5495183660393,43.6626620961608,41.2651376592428,29.4182442418779,22.0191949863574,27.1081706181134,32.824260323078,29.9930042703076,32.7543368568253,32.3647069452194,41.8925366226982,43.5501497393747,14.9039671469919,18.6123003392167,19.3315085121732,39.6396676791704,42.0595834398218,38.2526209403536
"FEK30_RS00785",9.58779338934553,20.0173906005141,13.0385196817848,18.2505499185919,15.1163424204124,36.4197707854607,13.9658822152297,13.7225509445077,18.3400611818857,8.40521264053655,14.36034455632,6.32523981089313,32.824260323078,15.7857917212145,16.3771684284127,14.3843141978753,11.7299102543555,12.7021270073176,5.73229505653533,4.80317428108818,3.99962245079446,8.38531431674759,6.40037139301636,7.8243997377996
"FEK30_RS00795",0,1.05354687371127,0,0.912527495929596,1.25969520170103,2.02332059919226,0,4.99001852527552,1.52833843182381,4.20260632026828,0,1.8072113745409,3.12612003076933,15.7857917212145,3.27543368568253,0.899019637367207,0.837850732453964,0.907294786236972,63.6284751275421,78.051582067683,79.3258452740901,0,1.82867754086182,0
"FEK30_RS00820",835.507709642967,880.76518642262,954.820825927624,769.26067906865,781.011025054638,761.780205595887,888.737959150983,938.123482751799,939.928135571641,553.062991747305,554.309299873953,574.693217104005,872.187488584644,932.94029072378,1062.87823100398,555.594135892934,652.685720581638,618.775044213615,1504.15422283487,1405.52887400343,1346.53955843413,800.416366598634,846.677701419021,923.279169060353
"FEK30_RS00825",72.5932928050447,125.372077971641,95.2814899822734,156.042201803961,83.139883312268,118.364255052747,76.1775393557985,76.0977825104517,91.7003059094284,64.7201373321315,78.5032169078828,93.0713857888561,75.026880738464,116.814858736988,98.263010570476,76.4166691762126,84.6229239778503,80.7492359750906,275.723392219349,249.16466583145,206.647159957714,96.8122652933586,117.949701385587,96.5009300995284
